date,week,team1,team2,score1,score2,538 spread,fd spread
10/28/2018,8,CIN,TB,37,34,-3.5,-3.5
10/28/2018,8,PIT,CLE,33,18,-13.5,-9
10/28/2018,8,OAK,IND,28,42,-1.5,3
10/28/2018,8,LAR,GB,29,27,-9.5,-7.5
10/28/2018,8,ARI,SF,18,15,-2,2.5
10/28/2018,8,MIN,NO,20,30,-1.5,2.5
10/29/2018,8,BUF,NE,6,25,6.5,14
11/1/2018,9,SF,OAK,34,3,-3.5,2
11/4/2018,9,MIN,DET,24,9,-5,-5.5
11/4/2018,9,CLE,KC,21,37,11.5,7.5
11/4/2018,9,WSH,ATL,14,38,-1.5,1
11/4/2018,9,MIA,NYJ,13,6,-3.5,-3
11/4/2018,9,BUF,CHI,9,41,1,10
11/4/2018,9,CAR,TB,42,28,-8,-6.5
11/4/2018,9,BAL,PIT,16,23,-1,1
11/4/2018,9,SEA,LAC,17,25,-3,1
11/4/2018,9,DEN,HOU,17,19,-1,1
11/4/2018,9,NO,LAR,45,35,-2.5,1.5
11/4/2018,9,NE,GB,31,17,-10,-4.5
11/5/2018,9,DAL,TEN,14,28,-4.5,-4
11/8/2018,10,PIT,CAR,52,21,-3,-3.5
11/11/2018,10,CLE,ATL,28,16,9,5.5
11/11/2018,10,CIN,NO,14,51,4,6
11/11/2018,10,KC,ARI,26,14,-14,-17
11/11/2018,10,TB,WSH,3,16,-1,-3.5
11/11/2018,10,NYJ,BUF,10,41,-3.5,-7
11/11/2018,10,IND,JAX,29,26,-1.5,-3
11/11/2018,10,CHI,DET,34,22,-4.5,-7.5
11/11/2018,10,TEN,NE,34,10,3.5,6.5
11/11/2018,10,OAK,LAC,6,20,8,10
11/11/2018,10,GB,MIA,31,12,-3,-12.5
11/11/2018,10,LAR,SEA,36,31,-5.5,-9.5
11/11/2018,10,PHI,DAL,20,27,-7.5,-7.5
11/12/2018,10,SF,NYG,23,27,-5,-3
11/15/2018,11,SEA,GB,27,24,-5,-3
11/18/2018,11,IND,TEN,38,10,1.5,1.5
11/18/2018,11,DET,CAR,20,19,2,4
11/18/2018,11,BAL,CIN,24,21,-5,-6.5
11/18/2018,11,JAX,PIT,16,20,5,4
11/18/2018,11,ATL,DAL,19,22,-3.5,-3.5
11/18/2018,11,WSH,HOU,21,23,-3.5,3
11/18/2018,11,NYG,TB,38,35,-0.5,-3
11/18/2018,11,ARI,OAK,21,23,-5,-4.5
11/18/2018,11,LAC,DEN,22,23,-9.5,-7
11/18/2018,11,NO,PHI,48,7,-7.5,-7
11/18/2018,11,CHI,MIN,25,20,-1,-2.5
11/19/2018,11,LAR,KC,54,51,-1,-3
11/22/2018,12,DET,CHI,16,23,1,3
11/22/2018,12,DAL,WSH,31,23,-4,-7
11/22/2018,12,NO,ATL,31,17,-10,-12
11/25/2018,12,PHI,NYG,25,22,-9.5,-5
11/25/2018,12,NYJ,NE,13,27,8.5,12.5
11/25/2018,12,CAR,SEA,27,30,-3.5,-3
11/25/2018,12,CIN,CLE,20,35,-7.5,1
11/25/2018,12,BUF,JAX,24,21,-1.5,3
11/25/2018,12,TB,SF,27,9,-3.5,-2
11/25/2018,12,BAL,OAK,34,17,-11,-12.5
11/25/2018,12,LAC,ARI,45,10,-11.5,-14
11/25/2018,12,IND,MIA,27,24,-5.5,-8.5
11/25/2018,12,DEN,PIT,24,17,6,3
11/25/2018,12,MIN,GB,24,17,-6,-3.5
11/26/2018,12,HOU,TEN,34,17,-2.5,-3.5
11/29/2018,13,DAL,NO,13,10,4,7
12/2/2018,13,CIN,DEN,10,24,-0.5,4
12/2/2018,13,HOU,CLE,29,13,-8,-5.5
12/2/2018,13,MIA,BUF,21,17,-2,-3.5
12/2/2018,13,GB,ARI,17,20,-7,-13
12/2/2018,13,ATL,BAL,16,26,-1,-2.5
12/2/2018,13,NYG,CHI,30,27,5.5,4
12/2/2018,13,DET,LAR,16,30,5.5,10
12/2/2018,13,JAX,IND,6,0,0,4
12/2/2018,13,TB,CAR,24,17,2.5,3.5
12/2/2018,13,OAK,KC,33,40,11,14
12/2/2018,13,TEN,NYJ,26,22,-8.5,-9.5
12/2/2018,13,SEA,SF,43,16,-11,-9.5
12/2/2018,13,NE,MIN,24,10,-5,-6
12/2/2018,13,PIT,LAC,30,33,-3.5,-3
12/3/2018,13,PHI,WSH,28,13,-5.5,-6
12/6/2018,14,TEN,JAX,30,9,-4.5,-5.5
12/9/2018,14,GB,ATL,34,20,-0.5,-4
12/9/2018,14,CLE,CAR,26,20,3.5,1
12/9/2018,14,KC,BAL,27,24,-6,-6.5
12/9/2018,14,TB,NO,14,28,7,9
12/9/2018,14,WSH,NYG,16,40,-5.5,3
12/9/2018,14,BUF,NYJ,23,27,-6,-4.5
12/9/2018,14,HOU,IND,21,24,-5,-4
12/9/2018,14,MIA,NE,34,33,6.5,9.5
12/9/2018,14,SF,DEN,20,14,3.5,3
12/9/2018,14,LAC,CIN,26,21,-11.5,-16.5
12/9/2018,14,DAL,PHI,29,23,-2.5,-3
12/9/2018,14,OAK,PIT,24,21,9,9.5
12/9/2018,14,ARI,DET,3,17,0,2.5
12/9/2018,14,CHI,LAR,15,6,2,3
12/10/2018,14,SEA,MIN,21,7,-3.5,-3
12/13/2018,15,KC,LAC,28,29,-4.5,-4
12/15/2018,15,NYJ,HOU,22,29,4,7
12/15/2018,15,DEN,CLE,16,17,-5.5,-2
12/16/2018,15,CHI,GB,24,17,-7.5,-6
12/16/2018,15,BAL,TB,20,12,-8,-8.5
12/16/2018,15,CIN,OAK,30,16,-4.5,-3
12/16/2018,15,JAX,WSH,13,16,-3,-7
12/16/2018,15,MIN,MIA,41,17,-6.5,-8
12/16/2018,15,NYG,TEN,0,17,0.5,2.5
12/16/2018,15,IND,DAL,23,0,1,-3
12/16/2018,15,ATL,ARI,40,14,-7,-9
12/16/2018,15,BUF,DET,14,13,0.5,-2.5
12/16/2018,15,SF,SEA,26,23,6.5,4
12/16/2018,15,PIT,NE,17,10,0,2.5
12/16/2018,15,LAR,PHI,23,30,-6,-13.5
12/17/2018,15,CAR,NO,9,12,5.5,6
12/22/2018,16,TEN,WSH,25,16,-7,-12
12/22/2018,16,LAC,BAL,10,22,-4.5,-4
12/23/2018,16,PHI,HOU,32,30,-4.5,-2
12/23/2018,16,CLE,CIN,26,18,-3,-10
12/23/2018,16,NYJ,GB,38,44,2,3
12/23/2018,16,CAR,ATL,10,24,-3.5,3
12/23/2018,16,MIA,JAX,7,17,-3,-3
12/23/2018,16,DAL,TB,27,20,-7.5,-7
12/23/2018,16,IND,NYG,28,27,-7.5,-9.5
